Symbol,Name,Sector,Market Cap
MMM,3M Company,Industrials,138721055226
AOS,A.O. Smith Corp,Industrials,10783419933
ABT,Abbott Laboratories,Health Care,102121042306
ABBV,AbbVie Inc.,Health Care,181386347059
ACN,Accenture plc,Information Technology,98765855553
ATVI,Activision Blizzard,Information Technology,52518668144
AYI,Acuity Brands Inc,Industrials,6242377704
ADBE,Adobe Systems Inc,Information Technology,94550214268
AAP,Advance Auto Parts,Consumer Discretionary,8123611867
AMD,Advanced Micro Devices Inc,Information Technology,11191663795
AES,AES Corp,Utilities,6920851212
AET,Aetna Inc,Health Care,59197016353
AMG,Affiliated Managers Group Inc,Financials,10442174371
AFL,AFLAC Inc,Financials,33422948000
A,Agilent Technologies Inc,Health Care,21984606918
APD,Air Products & Chemicals Inc,Materials,34638387128
AKAM,Akamai Technologies Inc,Information Technology,10906904066
ALK,Alaska Air Group Inc,Industrials,7903173734
ALB,Albemarle Corp,Materials,11782151266
ARE,Alexandria Real Estate Equities Inc,Real Estate,12043374429
ALXN,Alexion Pharmaceuticals,Health Care,26172439795
ALGN,Align Technology,Health Care,18788041378
ALLE,Allegion,Industrials,7599609494
AGN,"Allergan, Plc",Health Care,56668833898
ADS,Alliance Data Systems,Information Technology,13632608582
LNT,Alliant Energy Corp,Utilities,8670163500
ALL,Allstate Corp,Financials,34759468905
GOOGL,Alphabet Inc Class A,Information Technology,733823966137
GOOG,Alphabet Inc Class C,Information Technology,728535558140
MO,Altria Group Inc,Consumer Staples,126985101434
AMZN,Amazon.com Inc,Consumer Discretionary,685873374731
AEE,Ameren Corp,Utilities,12905744906
AAL,American Airlines Group,Industrials,24594852352
AEP,American Electric Power,Utilities,31701916517
AXP,American Express Co,Financials,80410990000
AIG,"American International Group, Inc.",Financials,54360073164
AMT,American Tower Corp A,Real Estate,59213892640
AWK,American Water Works Company Inc,Utilities,13906146184
AMP,Ameriprise Financial,Financials,23472126000
ABC,AmerisourceBergen Corp,Health Care,20587704101
AME,AMETEK Inc,Industrials,17139651923
AMGN,Amgen Inc,Health Care,128133340000
APH,Amphenol Corp,Information Technology,26955335395
APC,Anadarko Petroleum Corp,Energy,32129091747
ADI,"Analog Devices, Inc.",Information Technology,31811578855
ANDV,Andeavor,Energy,15696449735
ANSS,ANSYS,Information Technology,13155919129
ANTM,Anthem Inc.,Health Care,61221978627
AON,Aon plc,Financials,35123123422
APA,Apache Corporation,Energy,15066280977
AIV,Apartment Investment & Management,Real Estate,6156884142
AAPL,Apple Inc.,Information Technology,809508034020
AMAT,Applied Materials Inc,Information Technology,51296481503
APTV,Aptiv Plc,Consumer Discretionary,24906530300
ADM,Archer-Daniels-Midland Co,Consumer Staples,23594770663
ARNC,Arconic Inc,Industrials,12123300000
AJG,Arthur J. Gallagher & Co.,Financials,11968488290
AIZ,Assurant Inc,Financials,4653993594
T,AT&T Inc,Telecommunication Services,226713270000
ADSK,Autodesk Inc,Information Technology,24348294504
ADP,Automatic Data Processing,Information Technology,50337702249
AZO,AutoZone Inc,Consumer Discretionary,19922021415
AVB,"AvalonBay Communities, Inc.",Real Estate,21856547430
AVY,Avery Dennison Corp,Materials,10104814319
BHGE,"Baker Hughes, a GE Company",Energy,32995712852
BLL,Ball Corp,Materials,13767688518
BAC,Bank of America Corp,Financials,321478200969
BAX,Baxter International Inc.,Health Care,35713732553
BBT,BB&T Corporation,Financials,42087562920
BDX,Becton Dickinson,Health Care,50910180308
BRK.B,Berkshire Hathaway,Financials,261401203633
BBY,Best Buy Co. Inc.,Consumer Discretionary,20831186176
BIIB,Biogen Inc.,Health Care,69157726427
BLK,BlackRock,Financials,85907759858
HRB,Block H&R,Financials,5381433872
BA,Boeing Company,Industrials,205617405233
BWA,BorgWarner,Consumer Discretionary,11596117445
BXP,Boston Properties,Real Estate,17799878487
BSX,Boston Scientific,Health Care,36142506007
BHF,Brighthouse Financial Inc,Financials,7066613254
BMY,Bristol-Myers Squibb,Health Care,102506501960
